rank,code,entry_rule,take_profit_pct,stop_loss_pct,time_cap_days,tickers_with_matches,total_occurrences,take_profit_rate_pct,success_rate_pct,stop_loss_rate_pct,average_trade_return_pct,profit_factor,feature_keys,first_trade_date,last_trade_date
1,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,open,1.0000,4.0000,5,73,227,95.1542,95.1542,4.4053,0.7713,5.2802,"gap_vs_atr14,range_position_5d,range_position_10d",2025-04-22,2026-04-13
2,asset_long_open_tp1_1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,open,1.1000,4.0000,5,73,227,94.2731,94.2731,5.2863,0.8216,4.8132,"gap_vs_atr14,range_position_5d,range_position_10d",2025-04-22,2026-04-13
3,asset_long_open_tp1_2_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,open,1.2000,4.0000,5,73,227,92.9515,92.9515,6.1674,0.8587,4.3455,"gap_vs_atr14,range_position_5d,range_position_10d",2025-04-22,2026-04-13
4,asset_long_open_tp1_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,open,1.0000,4.0000,5,75,246,93.9024,93.9024,5.6911,0.7077,4.0592,"gap_vs_range20,range_position_5d,range_position_10d",2025-04-22,2026-04-13
5,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,open,1.0000,4.0000,5,73,260,93.4615,93.4615,5.7692,0.6964,3.9241,"gap_vs_atr14,range_position_5d,drawdown_10d",2025-04-22,2026-04-13
6,asset_long_open_tp1_1_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,open,1.1000,4.0000,5,75,246,93.0894,93.0894,6.5041,0.7601,3.8809,"gap_vs_range20,range_position_5d,range_position_10d",2025-04-22,2026-04-13
7,asset_long_open_tp1_1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,open,1.1000,4.0000,5,73,260,92.3077,92.3077,6.5385,0.7451,3.7561,"gap_vs_atr14,range_position_5d,drawdown_10d",2025-04-22,2026-04-13
8,asset_long_open_tp1_3_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,open,1.3000,4.0000,5,73,227,91.6300,91.6300,7.4890,0.8816,3.8482,"gap_vs_atr14,range_position_5d,range_position_10d",2025-04-22,2026-04-13
9,asset_long_open_tp1_2_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,open,1.2000,4.0000,5,75,246,91.8699,91.8699,7.3171,0.8005,3.6517,"gap_vs_range20,range_position_5d,range_position_10d",2025-04-22,2026-04-13
10,asset_long_open_tp1_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,open,1.0000,4.0000,5,73,279,92.4731,92.4731,6.8100,0.6454,3.3109,"gap_vs_range20,range_position_5d,drawdown_10d",2025-04-22,2026-04-13
11,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__drawdown_10d=dd_1_3__atr_return_5d=rel_soft_up,open,1.0000,4.0000,5,72,267,90.2622,91.3858,5.2434,0.6546,3.6010,"sma20_vs_sma50,drawdown_10d,atr_return_5d",2025-04-22,2026-04-13
12,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band__atr_return_5d=rel_soft_up,open,1.0000,4.0000,5,64,204,91.6667,91.6667,5.8824,0.6467,3.3959,"sma20_vs_sma50,range_position_10d,atr_return_5d",2025-04-22,2026-04-13
13,asset_long_close_tp1_sl4_cap5__3f__positive_days_10d=neutral__bb_position_20=near_low__day_of_week=fri,close,1.0000,4.0000,5,79,276,90.9420,90.9420,5.4348,0.6388,3.3608,"positive_days_10d,bb_position_20,day_of_week",2025-05-09,2026-04-10
14,asset_long_open_tp1_2_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,open,1.2000,4.0000,5,73,260,90.7692,90.7692,7.6923,0.7675,3.3857,"gap_vs_atr14,range_position_5d,drawdown_10d",2025-04-22,2026-04-13
15,asset_long_open_tp1_1_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,open,1.1000,4.0000,5,73,279,91.3978,91.3978,7.5269,0.6961,3.2508,"gap_vs_range20,range_position_5d,drawdown_10d",2025-04-22,2026-04-13
16,asset_long_close_tp1_1_sl4_cap5__3f__positive_days_10d=neutral__bb_position_20=near_low__day_of_week=fri,close,1.1000,4.0000,5,79,276,90.2174,90.2174,6.1594,0.6928,3.3126,"positive_days_10d,bb_position_20,day_of_week",2025-05-09,2026-04-10
17,asset_long_open_tp1_sl4_cap5__3f__prev_ret_5d=up_1_3__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band,open,1.0000,4.0000,5,62,219,90.4110,90.4110,5.4795,0.6289,3.2856,"prev_ret_5d,sma20_vs_sma50,range_position_10d",2025-04-22,2026-04-13
18,asset_long_open_tp1_sl4_cap5__3f__prev_ret_2d=flat__prev_ret_5d=up_1_3__sma20_vs_sma50=dn_1_5,open,1.0000,4.0000,5,71,240,90.0000,90.8333,5.4167,0.6236,3.2314,"prev_ret_2d,prev_ret_5d,sma20_vs_sma50",2025-04-22,2026-04-13
19,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__close_vs_ema9=up_1_5,open,1.0000,4.0000,5,73,207,92.2705,92.2705,7.7295,0.6135,2.9844,"gap_vs_atr14,range_position_5d,close_vs_ema9",2025-04-22,2026-04-13
20,asset_long_open_tp1_1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band__atr_return_5d=rel_soft_up,open,1.1000,4.0000,5,64,204,90.6863,90.6863,6.8627,0.6884,3.2268,"sma20_vs_sma50,range_position_10d,atr_return_5d",2025-04-22,2026-04-13
21,asset_long_open_tp1_sl4_cap5__3f__streak_direction=up_1__day_of_week=tue__atr_return_5d=rel_soft_dn,open,1.0000,4.0000,5,75,219,90.4110,90.8676,6.3927,0.6123,3.0901,"streak_direction,day_of_week,atr_return_5d",2025-04-22,2026-03-31
22,asset_long_open_tp1_sl4_cap5__3f__close_vs_sma50=up_5_10__rsi_14=high__day_of_week=tue,open,1.0000,4.0000,5,59,223,91.0314,91.0314,6.7265,0.6030,2.9622,"close_vs_sma50,rsi_14,day_of_week",2025-04-22,2026-04-07
23,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__positive_days_5d=soft_strong,open,1.0000,4.0000,5,69,204,91.6667,91.6667,7.8431,0.5980,2.8762,"gap_vs_atr14,range_position_5d,positive_days_5d",2025-04-22,2026-04-13
24,asset_long_open_tp1_sl4_cap5__3f__prev_ret_5d=up_1_3__range_position_20d=upper_band__day_of_week=thu,open,1.0000,4.0000,5,72,203,91.1330,91.6256,7.3892,0.5977,2.8892,"prev_ret_5d,range_position_20d,day_of_week",2025-04-24,2026-04-09
25,asset_long_open_tp1_sl4_cap5__3f__prev_ret_20d=shock_up__close_vs_sma50=up_5_10__day_of_week=fri,open,1.0000,4.0000,5,76,311,90.3537,90.6752,7.0740,0.5929,2.8982,"prev_ret_20d,close_vs_sma50,day_of_week",2025-04-25,2026-04-10
26,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_10d=upper_band__positive_days_5d=soft_strong,open,1.0000,4.0000,5,73,201,91.5423,91.5423,7.9602,0.5924,2.8341,"gap_vs_atr14,range_position_10d,positive_days_5d",2025-04-22,2026-04-13
27,asset_long_open_tp1_sl4_cap5__3f__prev_ret_10d=up_5_8__drawdown_10d=dd_1_3__day_of_week=tue,open,1.0000,4.0000,5,74,212,91.0377,91.0377,7.0755,0.5907,2.8474,"prev_ret_10d,drawdown_10d,day_of_week",2025-04-22,2026-04-07
28,asset_long_open_tp1_1_sl4_cap5__3f__close_vs_sma50=up_5_10__rsi_14=high__day_of_week=tue,open,1.1000,4.0000,5,59,223,90.1345,90.1345,7.1749,0.6623,3.0115,"close_vs_sma50,rsi_14,day_of_week",2025-04-22,2026-04-07
29,asset_long_open_tp1_sl4_cap5__3f__prev_ret_3d=flat__compression_3v20=very_low__drawdown_10d=dd_1_3,open,1.0000,4.0000,5,71,240,90.4167,90.4167,6.2500,0.5924,2.8999,"prev_ret_3d,compression_3v20,drawdown_10d",2025-04-22,2026-04-07
30,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__intraday_return_prev=flat__day_of_week=fri,open,1.0000,4.0000,5,73,239,90.7950,90.7950,6.6946,0.5870,2.8291,"gap_vs_atr14,intraday_return_prev,day_of_week",2025-04-25,2026-03-27
31,asset_long_open_tp1_sl4_cap5__3f__intraday_return_prev=flat__drawdown_10d=dd_6_10__atr_return_1d=rel_soft_dn,open,1.0000,4.0000,5,72,241,90.0415,90.4564,6.6390,0.5888,2.8836,"intraday_return_prev,drawdown_10d,atr_return_1d",2025-05-07,2026-04-06
32,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band__positive_days_5d=soft_strong,open,1.0000,4.0000,5,75,327,90.2141,90.5199,7.3394,0.5802,2.7950,"sma20_vs_sma50,range_position_10d,positive_days_5d",2025-04-22,2026-04-13
33,asset_long_open_tp1_sl4_cap5__3f__sma20_slope_5d=near__gap_vs_atr14=rel_soft_dn__range_position_10d=upper_band,open,1.0000,4.0000,5,66,204,91.1765,91.1765,7.8431,0.5872,2.8088,"sma20_slope_5d,gap_vs_atr14,range_position_10d",2025-04-22,2026-04-13
34,asset_long_open_tp1_sl4_cap5__3f__prev_ret_1d=flat__sma20_vs_sma50=dn_1_5__atr_return_5d=rel_soft_up,open,1.0000,4.0000,5,70,270,90.0000,90.3704,6.6667,0.5859,2.8597,"prev_ret_1d,sma20_vs_sma50,atr_return_5d",2025-04-22,2026-04-10
35,asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,close,1.0000,4.0000,5,77,264,90.1515,90.5303,7.1970,0.5831,2.8136,"prev_ret_1d,intraday_return_prev,drawdown_10d",2025-04-22,2026-04-07
36,asset_long_close_tp1_sl4_cap5__3f__sma20_vs_sma50=up_1_5__intraday_return_prev=dn_1_3__day_of_week=fri,close,1.0000,4.0000,5,70,206,90.7767,90.7767,7.2816,0.5702,2.6892,"sma20_vs_sma50,intraday_return_prev,day_of_week",2025-04-25,2026-04-10
37,asset_long_open_tp1_sl4_cap5__3f__prev_ret_5d=up_1_3__sma50_slope_10d=up_1_5__atr_return_1d=rel_soft_dn,open,1.0000,4.0000,5,66,220,90.0000,90.0000,6.8182,0.5766,2.7832,"prev_ret_5d,sma50_slope_10d,atr_return_1d",2025-04-23,2026-04-13
38,asset_long_open_tp1_sl4_cap5__3f__sma20_slope_5d=near__gap_vs_atr14=rel_soft_dn__day_of_week=fri,open,1.0000,4.0000,5,69,244,90.1639,90.1639,6.9672,0.5674,2.6977,"sma20_slope_5d,gap_vs_atr14,day_of_week",2025-04-25,2026-03-27
39,asset_long_open_tp1_sl4_cap5__3f__prev_ret_1d=flat__gap_vs_atr14=rel_soft_dn__day_of_week=fri,open,1.0000,4.0000,5,70,221,90.0452,90.0452,7.2398,0.5534,2.5945,"prev_ret_1d,gap_vs_atr14,day_of_week",2025-04-25,2026-03-27
40,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__atr_return_1d=rel_near__atr_return_5d=rel_soft_up,open,1.0000,4.0000,5,67,231,90.0433,90.0433,7.7922,0.5570,2.6218,"sma20_vs_sma50,atr_return_1d,atr_return_5d",2025-04-22,2026-04-13
41,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=near__volume_ratio_20d=high__close_vs_ema21=up_1_5,open,1.0000,4.0000,5,63,200,90.0000,90.0000,8.0000,0.5436,2.5254,"sma20_vs_sma50,volume_ratio_20d,close_vs_ema21",2025-04-22,2026-04-13
